Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
134,   1,            4300.0,       4300.000,       3.8961              
135,   54,           128240.0,     2374.815,       4.3406              
136,   2,            3310.0,       1655.000,       4.51571             
137,   1,            3530.0,       3530.000,       4.93732             
138,   2,            900.0,        450.000,        4.97641             
139,   1,            4800.0,       4800.000,       4.44547             
140,   1,            4460.0,       4460.000,       4.48908             
141,   2,            16030.0,      8015.000,       4.82887             
142,   1,            5350.0,       5350.000,       4.84406             
143,   4,            13320.0,      3330.000,       5.32923             
144,   2,            6190.0,       3095.000,       5.49536             
145,   26,           86860.0,      3340.769,       5.49545             
146,   6,            27530.0,      4588.333,       5.44783             
147,   32,           58210.0,      1819.062,       5.06288             
148,   1,            2100.0,       2100.000,       4.67545             
149,   3,            12330.0,      4110.000,       5.00695             
150,   2,            8260.0,       4130.000,       5.19227             
151,   1,            5320.0,       5320.000,       5.35019             
152,   7,            30090.0,      4298.571,       5.26738             
153,   1,            3330.0,       3330.000,       5.153               
